Date,Close,High,Low,Open,Volume,Ticker,Source
,BLK,BLK,BLK,BLK,BLK,,
2021-02-16,647.7759399414062,654.3484945205379,644.769038854679,646.3212672216562,571400,BLK,Yahoo Finance
2021-02-17,639.8640747070312,646.3479526772853,637.2740316246054,643.93531796368,567100,BLK,Yahoo Finance
2021-02-18,624.0223999023438,636.0765308315633,617.7690941357766,635.4645072341411,1078700,BLK,Yahoo Finance
2021-02-19,629.8587036132812,635.5975410991293,626.6566916144324,627.4727049857279,804200,BLK,Yahoo Finance
2021-02-22,623.6765747070312,626.1955895805954,618.4699609857728,625.6634185896835,829900,BLK,Yahoo Finance
2021-02-23,623.6942138671875,625.9205615367933,610.5224688834688,621.3437290706872,926300,BLK,Yahoo Finance
2021-02-24,631.6239624023438,632.6262629023946,621.2373703780504,624.8828770795967,583200,BLK,Yahoo Finance
2021-02-25,616.2702026367188,633.752750772416,613.9285961086172,633.5132467546525,591000,BLK,Yahoo Finance
2021-02-26,616.0130004882812,621.7961780184288,611.3829503582698,618.9311707347384,768500,BLK,Yahoo Finance
2021-03-01,637.9215698242188,640.3784889596253,625.5126204628984,626.9406576784584,652800,BLK,Yahoo Finance
2021-03-02,635.3580932617188,641.824213454316,632.9632158853179,638.391575731865,455100,BLK,Yahoo Finance
2021-03-03,622.2130737304688,639.8552743651684,622.0445438801081,637.3362051499001,703000,BLK,Yahoo Finance
2021-03-04,609.5878295898438,623.5513648169219,603.529479972857,618.6797651177167,915400,BLK,Yahoo Finance
2021-03-05,626.6027221679688,628.1641431368831,598.0510244506772,617.341260864279,698500,BLK,Yahoo Finance
2021-03-08,623.6407470703125,635.4272150353636,621.7492006340273,624.1760698511233,649800,BLK,Yahoo Finance
2021-03-09,644.1979370117188,647.0887888467914,628.0483983241517,631.6887020270992,959700,BLK,Yahoo Finance
2021-03-10,649.9974365234375,654.538966252868,646.1608118940459,648.3824828196631,823300,BLK,Yahoo Finance
2021-03-11,644.3049926757812,654.6282263969023,641.8156601761576,653.5485953058073,751600,BLK,Yahoo Finance
2021-03-12,639.013916015625,644.7510176027683,635.7215454126394,641.7709639425375,528700,BLK,Yahoo Finance
2021-03-15,641.5299072265625,643.0467271020136,631.0550115455491,643.0467271020136,526800,BLK,Yahoo Finance
2021-03-16,645.15234375,649.0068292382733,638.6300678846441,644.1441076301072,562200,BLK,Yahoo Finance
2021-03-17,649.7476806640625,651.6928138647313,642.3331605228379,643.6179896735009,463600,BLK,Yahoo Finance
2021-03-18,645.7413940429688,660.2135676280883,644.6082852983052,650.434589199171,640100,BLK,Yahoo Finance
2021-03-19,651.0145874023438,660.8381672786719,636.6227390075684,642.6453643800038,1452200,BLK,Yahoo Finance
2021-03-22,652.1565551757812,656.8586810767932,647.3830892287866,651.0145154015048,524700,BLK,Yahoo Finance
2021-03-23,639.35302734375,651.1395484835803,637.2116275375264,651.1395484835803,556700,BLK,Yahoo Finance
2021-03-24,644.8670654296875,652.4065113996539,643.3948462643,643.3948462643,544700,BLK,Yahoo Finance
2021-03-25,649.1051025390625,650.1579400192114,635.51629424513,645.5807409188899,462800,BLK,Yahoo Finance
2021-03-26,675.3370971679688,676.5148071250575,652.5135617871432,652.5135617871432,803700,BLK,Yahoo Finance
2021-03-29,676.1934814453125,679.7535129018661,664.656816452447,666.1290352983821,581700,BLK,Yahoo Finance
2021-03-30,668.520263671875,681.1543677969968,666.4681209900862,673.6952487479663,598800,BLK,Yahoo Finance
2021-03-31,672.7139282226562,680.1105852351367,668.1545361089796,669.153841500401,638100,BLK,Yahoo Finance
2021-04-01,684.1971435546875,684.5183372270418,675.961722547265,677.9068557431196,549200,BLK,Yahoo Finance
2021-04-05,699.5344848632812,702.8714559569038,688.6580698918502,689.2112547010581,593500,BLK,Yahoo Finance
2021-04-06,697.4735717773438,701.7295233399253,694.8146571755723,701.7295233399253,492300,BLK,Yahoo Finance
2021-04-07,703.0855712890625,705.0663192206001,696.8398872801495,698.9098919437829,477100,BLK,Yahoo Finance
2021-04-08,714.3279418945312,715.5860318824057,704.0582963303656,705.7624522471932,558500,BLK,Yahoo Finance
2021-04-09,721.2427368164062,723.268140600403,713.4267541510328,716.1837473745384,484200,BLK,Yahoo Finance
2021-04-12,720.9126586914062,722.42054772663,715.1398872193465,717.9058117416845,482800,BLK,Yahoo Finance
2021-04-13,716.0143432617188,719.708233410715,713.3733452274313,717.9862151238005,376200,BLK,Yahoo Finance
2021-04-14,714.7473754882812,723.9463763607644,712.1331163647751,713.3733442010157,552900,BLK,Yahoo Finance
2021-04-15,729.710205078125,738.6414893159687,722.7150135777546,724.6690230150092,766900,BLK,Yahoo Finance
2021-04-16,724.0087890625,736.5626233242082,718.7178077922372,735.0458031123795,774600,BLK,Yahoo Finance
2021-04-19,723.6876220703125,727.6223800782893,719.5297494019245,723.6608287061625,491100,BLK,Yahoo Finance
2021-04-20,718.2181396484375,725.7932549651251,714.5421120847636,720.270282498752,525200,BLK,Yahoo Finance
2021-04-21,724.0802001953125,724.8475142108689,713.4268428998387,716.4336900293583,388500,BLK,Yahoo Finance
2021-04-22,709.616943359375,723.6162033694818,708.0198519688068,723.6162033694818,520000,BLK,Yahoo Finance
2021-04-23,725.5433959960938,728.8803676904123,710.125504142236,712.3917760441072,489800,BLK,Yahoo Finance
2021-04-26,730.138427734375,733.671720567289,726.3018035551603,726.747923912233,478200,BLK,Yahoo Finance
2021-04-27,732.0924682617188,734.0375465664441,725.1062079241117,729.5852739264931,328200,BLK,Yahoo Finance
2021-04-28,728.3182983398438,732.5475107396879,727.4438653820238,731.5214121041244,335300,BLK,Yahoo Finance
2021-04-29,738.168701171875,740.1227107974424,729.023232526093,735.4741163979535,455200,BLK,Yahoo Finance
2021-04-30,731.0127563476562,734.1623919936275,726.0876249729762,733.2255501992842,451200,BLK,Yahoo Finance
2021-05-03,736.65185546875,742.7012743190851,732.5743084195004,736.0986705214875,490100,BLK,Yahoo Finance
2021-05-04,746.2969360351562,746.9482543665935,730.7451860465676,733.6449685308794,557900,BLK,Yahoo Finance
2021-05-05,759.3057861328125,760.29616026507,748.5631729784277,749.6160649542919,569900,BLK,Yahoo Finance
2021-05-06,773.6619262695312,773.9207109380876,757.5927162370729,759.6180656916765,666600,BLK,Yahoo Finance
2021-05-07,779.666748046875,782.5486682362409,765.7210207994597,767.7196313616239,474200,BLK,Yahoo Finance
2021-05-10,765.0518798828125,785.8856806442801,765.0250865191193,781.103283057274,566400,BLK,Yahoo Finance
2021-05-11,753.140380859375,763.1424190801056,745.0210119731876,756.8610639253743,671900,BLK,Yahoo Finance
2021-05-12,734.7601318359375,758.3866454245614,731.5837574880468,749.2947115602552,649700,BLK,Yahoo Finance
2021-05-13,748.5810546875,754.1308204451719,733.5110954193535,734.7602542468317,554700,BLK,Yahoo Finance
2021-05-14,764.5343627929688,768.0765870540478,754.3003870524967,757.2001696253914,481500,BLK,Yahoo Finance
2021-05-17,757.9228515625,767.4609074144815,754.9160045739402,764.5611249599078,347600,BLK,Yahoo Finance
2021-05-18,749.607177734375,763.5796443085095,749.1075250787266,760.9207842257434,373700,BLK,Yahoo Finance
2021-05-19,748.1615600585938,748.5630247378608,732.5473505035916,738.8465665800309,632900,BLK,Yahoo Finance
2021-05-20,753.83642578125,759.805519024967,746.4933012843311,750.8652486125508,360800,BLK,Yahoo Finance
2021-05-21,768.0140991210938,771.6544022249367,757.0841497725363,757.0841497725363,692800,BLK,Yahoo Finance
2021-05-24,778.355224609375,782.5755609143476,772.8322515002042,773.0821050812101,566800,BLK,Yahoo Finance
2021-05-25,780.059326171875,786.3317502316479,777.5521318804861,782.5843282465191,625600,BLK,Yahoo Finance
2021-05-26,782.2542724609375,792.5685741060269,776.5439639186583,788.2322968142149,616200,BLK,Yahoo Finance
2021-05-27,781.986572265625,789.142360674461,780.8623401810587,784.0476462679782,704600,BLK,Yahoo Finance
2021-05-28,782.5308837890625,785.17193627051,780.3002816973849,784.4938245213506,435400,BLK,Yahoo Finance
2021-06-01,782.4146728515625,794.0851950324708,781.6116889943253,792.2204426934056,407400,BLK,Yahoo Finance
2021-06-02,791.792236328125,792.2651500447125,782.3255754564902,783.8156021952686,543400,BLK,Yahoo Finance
2021-06-03,789.7484741210938,796.372976371515,782.9267873606003,788.8430886403295,430800,BLK,Yahoo Finance
2021-06-04,794.9833984375,795.1178821966738,786.9067678250187,792.347943516571,647000,BLK,Yahoo Finance
2021-06-07,793.2891845703125,797.8070836395287,788.3678342418,796.6058668782251,400300,BLK,Yahoo Finance
2021-06-08,792.8947143554688,794.6965120353127,787.130789183178,792.6974751766811,303300,BLK,Yahoo Finance
2021-06-09,780.7216186523438,794.6339601867638,779.7355866437969,793.7733843648554,463100,BLK,Yahoo Finance
2021-06-10,777.5841064453125,789.3181708268343,777.4944870751673,788.6099698945023,423300,BLK,Yahoo Finance
2021-06-11,789.434814453125,789.6768633994282,782.5683169825098,784.0742838104927,444000,BLK,Yahoo Finance
2021-06-14,785.9567260742188,790.3670610855083,783.0344120196714,789.7395612747616,363700,BLK,Yahoo Finance
2021-06-15,789.7484741210938,793.2265593889316,781.7076246419715,787.6329535144205,442600,BLK,Yahoo Finance
2021-06-16,779.2960815429688,788.8428952857563,773.532156498617,788.8428952857563,595600,BLK,Yahoo Finance
2021-06-17,778.8212280273438,783.6080408340703,772.026404970078,779.8789883655818,569900,BLK,Yahoo Finance
2021-06-18,753.6856689453125,768.1089143008555,752.0990014366039,762.7752494013224,1059000,BLK,Yahoo Finance
2021-06-21,772.0443115234375,772.9765609150453,759.2345406707851,761.0542844799802,575800,BLK,Yahoo Finance
2021-06-22,775.1818237304688,779.3680555499376,768.0015495409871,772.313292264405,668500,BLK,Yahoo Finance
2021-06-23,775.7733154296875,778.713574786522,774.0253000558224,776.7235105218003,566400,BLK,Yahoo Finance
2021-06-24,777.49462890625,783.4467677568338,771.8561579083939,782.0752847524162,662000,BLK,Yahoo Finance
2021-06-25,783.491455078125,786.3778771081894,778.6776695471682,781.4924179693134,742100,BLK,Yahoo Finance
2021-06-28,787.713623046875,789.4526657316541,778.1041059481223,785.2305425621805,373700,BLK,Yahoo Finance
2021-06-29,783.0433959960938,795.109075673939,781.0533313924051,789.6768170121172,742800,BLK,Yahoo Finance
2021-06-30,784.3341064453125,786.2972522280336,779.3949189774286,780.7753746850129,575600,BLK,Yahoo Finance
2021-07-01,788.1527099609375,788.618861948349,781.841985936993,786.2164831202678,426300,BLK,Yahoo Finance
2021-07-02,801.0610961914062,802.1905846805441,789.5960001641174,790.6537603346515,430300,BLK,Yahoo Finance
2021-07-06,800.2095947265625,802.8808867715917,794.2484837528189,802.2892785280455,527400,BLK,Yahoo Finance
2021-07-07,807.614013671875,809.2095997354972,797.7445016585473,797.7445016585473,468500,BLK,Yahoo Finance
2021-07-08,785.7056274414062,796.6239261151728,782.3261345021397,796.6239261151728,629800,BLK,Yahoo Finance
2021-07-09,807.945556640625,808.4744640947373,796.6507809075102,798.2822582401028,764400,BLK,Yahoo Finance
2021-07-12,821.0421142578125,824.9773782282781,806.3857919003839,807.9455408822546,861900,BLK,Yahoo Finance
2021-07-13,814.00537109375,822.9067413711647,811.3161333768508,822.9067413711647,590200,BLK,Yahoo Finance
2021-07-14,789.1298828125,801.3838267444678,779.869926083427,793.3520055137936,993900,BLK,Yahoo Finance
2021-07-15,788.8429565429688,797.3319561882283,784.61191603814,785.3648718575608,620000,BLK,Yahoo Finance
2021-07-16,784.3788452148438,791.6756010293087,782.5680745446115,791.4425797492593,983100,BLK,Yahoo Finance
2021-07-19,757.6121215820312,774.1330555312143,752.7087704519873,768.7993891072874,946300,BLK,Yahoo Finance
2021-07-20,787.8032836914062,790.0173965800805,757.4686568397689,759.6827697284431,899800,BLK,Yahoo Finance
2021-07-21,791.245361328125,800.1557035683641,790.8151008457555,791.4426005243281,445500,BLK,Yahoo Finance
2021-07-22,777.064208984375,793.2982279490677,776.535356192418,792.2315494851744,601000,BLK,Yahoo Finance
2021-07-23,778.937744140625,787.1219956021653,777.8978748796111,781.0712105177679,528500,BLK,Yahoo Finance
2021-07-26,781.214599609375,785.024353118359,777.1359332658228,777.844079515633,414400,BLK,Yahoo Finance
2021-07-27,772.5999755859375,779.6816559066949,768.9605431859771,775.9615223117386,476100,BLK,Yahoo Finance
2021-07-28,771.55126953125,774.6528219539096,765.6438867231252,772.3669808823196,389200,BLK,Yahoo Finance
2021-07-29,779.3320922851562,781.9944112019751,768.010397803912,776.4187516011699,335200,BLK,Yahoo Finance
2021-07-30,777.3421630859375,784.5493560000247,774.4915773485327,778.3103040932766,503700,BLK,Yahoo Finance
2021-08-02,782.8011474609375,790.2503327568618,781.1786431095143,782.8369842624949,386100,BLK,Yahoo Finance
2021-08-03,789.0313720703125,790.3938820483005,777.7903227976344,786.86201413644,391600,BLK,Yahoo Finance
2021-08-04,790.6448364257812,796.5073547650361,785.347007653394,787.8480336664413,390700,BLK,Yahoo Finance
2021-08-05,797.1618041992188,800.595024982297,793.95263184812,793.95263184812,349400,BLK,Yahoo Finance
2021-08-06,803.2664184570312,806.7713677700955,795.6469110947581,797.8072414615389,472000,BLK,Yahoo Finance
2021-08-09,808.5372314453125,811.7822953323185,797.7802804464003,804.9695268720649,347000,BLK,Yahoo Finance
2021-08-10,818.0302124023438,821.9385578840125,807.721468355054,808.5282615133916,382600,BLK,Yahoo Finance
2021-08-11,822.0910034179688,826.7971692703476,819.6347870906478,822.5481278564062,349200,BLK,Yahoo Finance
2021-08-12,823.3907470703125,824.6995290629986,819.0700321025262,819.7961787772861,299100,BLK,Yahoo Finance
2021-08-13,821.8849487304688,825.1299583817007,817.9855753053582,821.2036663130494,292700,BLK,Yahoo Finance
2021-08-16,829.083251953125,829.15492558435,813.0553866303334,820.970727014273,320600,BLK,Yahoo Finance
2021-08-17,815.3946533203125,825.9902545890964,807.757202066758,822.6914634805046,381700,BLK,Yahoo Finance
2021-08-18,808.4833374023438,818.5411136501203,808.2682071660576,810.7333414300737,384000,BLK,Yahoo Finance
2021-08-19,810.1597900390625,814.6507711185412,796.4625795169648,800.1468220998374,427500,BLK,Yahoo Finance
2021-08-20,822.1626586914062,827.030172127498,809.9983341844686,812.0511538789796,384700,BLK,Yahoo Finance
2021-08-23,831.745361328125,837.1865922410345,826.9943856081976,827.3439996445924,351300,BLK,Yahoo Finance
2021-08-24,832.9376831054688,836.9625672014664,828.9934455098992,832.7673625112808,288500,BLK,Yahoo Finance
2021-08-25,842.197509765625,847.8807345132258,833.92358498699,836.8458985613094,329900,BLK,Yahoo Finance
2021-08-26,838.9346313476562,844.9584977782667,837.4017460998232,844.7881771951742,272300,BLK,Yahoo Finance
2021-08-27,856.0202026367188,856.1905232097163,841.5520909495001,841.5520909495001,454600,BLK,Yahoo Finance
2021-08-30,849.8707275390625,860.4573563429955,849.4225213158431,859.9374218045125,284000,BLK,Yahoo Finance
2021-08-31,845.5769653320312,854.4962810493814,842.6725974558692,851.717424059888,595000,BLK,Yahoo Finance
2021-09-01,846.0521850585938,849.342004130207,839.9476171643122,847.109945409032,324200,BLK,Yahoo Finance
2021-09-02,852.192626953125,855.9396253890222,848.096014441074,851.0273014119674,349400,BLK,Yahoo Finance
2021-09-03,843.85546875,854.7133709508666,841.0104149340484,850.5358555725636,418700,BLK,Yahoo Finance
2021-09-07,832.6465454101562,842.2529857781745,827.0195211866248,840.2632502302268,357500,BLK,Yahoo Finance
2021-09-08,832.2053833007812,837.1931577168775,827.0555022321847,833.9789949333561,258500,BLK,Yahoo Finance
2021-09-09,830.2246704101562,841.784798180244,827.0555127890291,831.2690219254413,478300,BLK,Yahoo Finance
2021-09-10,825.2548217773438,836.9140263254201,823.8143256349351,836.5538748141151,332200,BLK,Yahoo Finance
2021-09-13,824.9306640625,832.0792369750324,815.6933334150457,831.223918405564,422800,BLK,Yahoo Finance
2021-09-14,812.0469970703125,825.4888237287361,807.806452530963,824.6965344523642,574200,BLK,Yahoo Finance
2021-09-15,818.9796142578125,822.7789545379942,810.2914671022094,812.0921148068809,494600,BLK,Yahoo Finance
2021-09-16,801.684326171875,818.772454300807,795.9852611350235,817.611056382034,726600,BLK,Yahoo Finance
2021-09-17,789.2509155273438,799.0914487945353,782.2103762967761,790.4933668592914,1272100,BLK,Yahoo Finance
2021-09-20,771.8206787109375,772.1447821229766,757.4064844408169,768.0483194140442,767800,BLK,Yahoo Finance
2021-09-21,760.9898071289062,777.4657244327847,755.6239115528269,775.8451523121662,596700,BLK,Yahoo Finance
2021-09-22,766.220703125,773.3602656077755,763.3036622565324,771.0824745400555,544100,BLK,Yahoo Finance
2021-09-23,788.836669921875,793.4823713934867,775.0797511558937,775.1787735832298,526000,BLK,Yahoo Finance
2021-09-24,787.4412841796875,789.2239079153297,780.5448272916839,783.2817921622491,322500,BLK,Yahoo Finance
2021-09-27,788.2064819335938,788.3865576909852,781.4991133198598,785.9827084364564,416800,BLK,Yahoo Finance
2021-09-28,774.791748046875,786.6670225293025,770.1911060894109,783.8309802533807,642500,BLK,Yahoo Finance
2021-09-29,771.1904296875,778.023857139116,770.5782160454904,775.7100731331512,547200,BLK,Yahoo Finance
2021-09-30,755.0655517578125,776.6733234680102,754.6153898471835,776.223161557381,562700,BLK,Yahoo Finance
2021-10-01,757.9736328125,765.0231287469684,741.4076525700693,759.1530548167833,477400,BLK,Yahoo Finance
2021-10-04,743.2713623046875,759.9093296226195,737.1221349657355,753.6791039092037,596000,BLK,Yahoo Finance
2021-10-05,755.1736450195312,759.7292813802543,740.885455348067,746.4945101500414,445200,BLK,Yahoo Finance
2021-10-06,754.0662231445312,754.3003161357594,739.129881373236,746.2964239892003,472500,BLK,Yahoo Finance
2021-10-07,758.3876953125,769.830830055288,757.5864489312178,761.241761189397,434000,BLK,Yahoo Finance
2021-10-08,760.2334594726562,762.2681451570714,753.192920570117,756.2360194933768,350300,BLK,Yahoo Finance
2021-10-11,756.029052734375,774.8278221957559,755.0387183178248,757.2445231016858,531600,BLK,Yahoo Finance
2021-10-12,752.841796875,759.3241395383149,748.6732930835894,759.3241395383149,823300,BLK,Yahoo Finance
2021-10-13,781.3101196289062,789.7011453809874,767.0850123042742,776.0792397124277,1453900,BLK,Yahoo Finance
2021-10-14,803.5479736328125,807.3383015208883,780.8057864987509,794.0855620546536,802800,BLK,Yahoo Finance
2021-10-15,816.827880859375,824.0034360584041,804.9166130929365,814.4420005129863,1023000,BLK,Yahoo Finance
2021-10-18,806.9692993164062,816.7468035209869,805.3487273133866,812.0921444210655,541000,BLK,Yahoo Finance
2021-10-19,811.777099609375,814.4690593882244,805.6368837661305,809.6793294502017,408400,BLK,Yahoo Finance
2021-10-20,812.9295043945312,815.5224417883821,807.6446071598383,815.018262570212,380500,BLK,Yahoo Finance
2021-10-21,813.6405639648438,819.1595530230121,811.1016993127787,812.9293279752399,333100,BLK,Yahoo Finance
2021-10-22,823.769287109375,824.750664285032,810.3004774748924,814.6130089362499,372100,BLK,Yahoo Finance
2021-10-25,832.5655517578125,839.0388830866028,821.1134576139154,826.98353233769,452400,BLK,Yahoo Finance
2021-10-26,838.7238159179688,845.3411750897541,835.8157321398381,840.4884157230241,377800,BLK,Yahoo Finance
2021-10-27,825.840087890625,845.7191992324986,825.2278742575891,837.4722568211231,452800,BLK,Yahoo Finance
2021-10-28,842.2349243164062,842.5500706297748,824.9127025081133,824.9127025081133,352200,BLK,Yahoo Finance
2021-10-29,849.4196166992188,853.3810089360479,837.8054162688786,838.1835369250346,484700,BLK,Yahoo Finance
2021-11-01,842.9102172851562,854.7494984098784,837.0131068005912,852.7777868942777,399200,BLK,Yahoo Finance
2021-11-02,853.371826171875,856.1358266193192,839.4168083458869,842.2978552744354,381700,BLK,Yahoo Finance
2021-11-03,856.8381958007812,858.6838486529522,850.1757775108804,857.2613216221322,387200,BLK,Yahoo Finance
2021-11-04,858.9449462890625,867.9932449449799,852.705708601151,860.6285474928765,351000,BLK,Yahoo Finance
2021-11-05,859.9083251953125,871.4594959266014,856.5321106556902,866.3906681016691,340100,BLK,Yahoo Finance
2021-11-08,869.5957641601562,870.4600948103918,862.0690702086813,864.3108677296302,372400,BLK,Yahoo Finance
2021-11-09,870.387939453125,874.9165940536897,857.9184781531816,866.7596085551237,394100,BLK,Yahoo Finance
2021-11-10,863.599609375,867.1558444131477,856.4420241963139,866.1114929869162,340400,BLK,Yahoo Finance
2021-11-11,869.3528442382812,872.7020781385504,862.5194157581739,863.1946587673538,266900,BLK,Yahoo Finance
2021-11-12,874.6554565429688,876.1589817253016,866.3904916276232,874.6824926304549,387500,BLK,Yahoo Finance
2021-11-15,858.2247314453125,874.6646543795562,856.2170267659792,874.2235044680801,678600,BLK,Yahoo Finance
