Date,Close,High,Low,Open,Volume,Ticker,Source
,MS,MS,MS,MS,MS,,
2021-02-16,64.8098373413086,65.12514730054266,64.15363944981945,64.98027480566363,8550600,MS,Yahoo Finance
2021-02-17,64.29851531982422,64.68200938741198,63.66788886648105,63.915027754009294,7807200,MS,Yahoo Finance
2021-02-18,63.770164489746094,64.38374988535679,63.20770904317837,64.0428683875982,7155800,MS,Yahoo Finance
2021-02-19,64.7672348022461,65.07402748724071,64.28148080130019,64.29852194967833,7685300,MS,Yahoo Finance
2021-02-22,65.96031188964844,66.46310700197158,64.40930743043623,64.51156731672674,11193700,MS,Yahoo Finance
2021-02-23,66.04554748535156,66.35234022607065,64.98882054608285,65.84102115879706,12174600,MS,Yahoo Finance
2021-02-24,68.07376861572266,68.2612537522808,66.17336528084336,66.19893025368795,12681500,MS,Yahoo Finance
2021-02-25,66.83808135986328,69.36911772931168,66.56537747672456,68.60213602617983,11674600,MS,Yahoo Finance
2021-02-26,65.50863647460938,67.19598935222331,65.04844755295866,66.50570922063324,30392200,MS,Yahoo Finance
2021-03-01,67.460205078125,67.78403897730117,66.50573803066258,66.51426185747047,11450000,MS,Yahoo Finance
2021-03-02,68.84928131103516,69.4969555316238,67.83516060400777,68.0141219343466,11955500,MS,Yahoo Finance
2021-03-03,69.93154907226562,70.68148943879189,69.16457406362275,69.16457406362275,13053000,MS,Yahoo Finance
2021-03-04,69.12199401855469,71.14171186395555,68.01413059244791,69.99975963223896,15809900,MS,Yahoo Finance
2021-03-05,68.9174575805664,70.35767202118132,66.79547362950534,70.22984714610745,16362500,MS,Yahoo Finance
2021-03-08,69.11346435546875,70.69855792271096,68.84928426151981,69.820792383149,10151900,MS,Yahoo Finance
2021-03-09,68.90038299560547,70.16164211807963,67.6902603049451,68.34645158031769,11588700,MS,Yahoo Finance
2021-03-10,70.80933380126953,71.09056151627817,69.38616057941162,69.65886446923933,10775800,MS,Yahoo Finance
2021-03-11,70.94569396972656,71.4229241849312,70.29801974782453,70.34915620072077,8951500,MS,Yahoo Finance
2021-03-12,71.87459564208984,72.50522876876212,71.40588921211811,72.05356349004725,8691300,MS,Yahoo Finance
2021-03-15,71.46552276611328,72.50520824641703,70.70706496525683,72.35181192142511,9018400,MS,Yahoo Finance
2021-03-16,70.34062957763672,71.32917877007286,69.74408533058023,71.16726509736687,9472000,MS,Yahoo Finance
2021-03-17,71.46552276611328,71.70413782681786,70.26391713671454,71.24394885184213,8049300,MS,Yahoo Finance
2021-03-18,71.5337142944336,73.8346531158998,71.35475296403281,72.20695349076459,10227400,MS,Yahoo Finance
2021-03-19,70.68150329589844,71.25247600379062,69.36911389895539,70.40027560331642,11557600,MS,Yahoo Finance
