Date,Close,High,Low,Open,Volume,Ticker,Source
,AAPL,AAPL,AAPL,AAPL,AAPL,,
2021-02-16,129.72650146484375,132.47316186052734,129.3368942321961,131.96669475107984,80576300,AAPL,Yahoo Finance
2021-02-17,127.43757629394531,128.78169493091983,126.10320712430666,127.83691804290048,97918500,AAPL,Yahoo Finance
2021-02-18,126.33695983886719,126.61941198787154,124.09676726976038,125.84021263400942,96856700,AAPL,Yahoo Finance
2021-02-19,126.49280548095703,127.31097309084008,125.45063790347744,126.85319396385569,87668800,AAPL,Yahoo Finance
2021-02-22,122.72344970703125,126.34671464924598,122.33384996779367,124.68117557823038,103916400,AAPL,Yahoo Finance
2021-02-23,122.58708190917969,123.4149766498793,115.31133387912055,120.54169271715817,158273000,AAPL,Yahoo Finance
2021-02-24,122.09036254882812,122.29490075920138,119.0515006449994,121.69102816600345,111039900,AAPL,Yahoo Finance
2021-02-25,117.84370422363281,123.17146037981733,117.4054092554,121.43774971472523,148199500,AAPL,Yahoo Finance
2021-02-26,118.10669708251953,121.60333738053185,118.04825229910983,119.40210545733144,164560400,AAPL,Yahoo Finance
2021-03-01,124.4668960571289,124.60325484384613,119.5969181572381,120.53195302229754,116307900,AAPL,Yahoo Finance
2021-03-02,121.86632537841797,125.37270785746594,121.75918527388905,125.07077161615514,102260900,AAPL,Yahoo Finance
2021-03-03,118.8858871459961,122.4409721711293,118.6716069492106,121.56437474382311,112966300,AAPL,Yahoo Finance
2021-03-04,117.00608825683594,120.38585416346811,115.53536025738819,118.58396379730593,178155000,AAPL,Yahoo Finance
2021-03-05,118.26253509521484,118.7690169305712,114.5126538027712,117.83398211644732,153766600,AAPL,Yahoo Finance
2021-03-08,113.3341293334961,117.85346835184752,113.1880285063647,117.78528895665244,154376600,AAPL,Yahoo Finance
2021-03-09,117.94110870361328,118.88588550494669,115.70092356585985,115.93468039958287,129525800,AAPL,Yahoo Finance
2021-03-10,116.85999298095703,118.99303824849771,116.34376908141869,118.52552453136408,111943300,AAPL,Yahoo Finance
2021-03-11,118.78849029541016,120.00598467048323,118.10669641776761,119.35340946888309,103026500,AAPL,Yahoo Finance
2021-03-12,117.88268280029297,118.01904158578925,116.06131583787986,117.2690682655597,88105100,AAPL,Yahoo Finance
2021-03-15,120.76570129394531,120.77544332973144,117.28853761790177,118.25279852383531,92403800,AAPL,Yahoo Finance
2021-03-16,122.30462646484375,123.91172068145192,121.47673169598399,122.43124321692929,115227900,AAPL,Yahoo Finance
2021-03-17,121.51570129394531,122.58709503966791,119.15862613615897,120.82416526324258,111932600,AAPL,Yahoo Finance
2021-03-18,117.39567565917969,119.97676520351848,117.1911374972353,119.68456358302885,121229700,AAPL,Yahoo Finance
2021-03-19,116.86972045898438,118.27227638684158,116.56778422545804,116.78206442899135,185549500,AAPL,Yahoo Finance
2021-03-22,120.18132019042969,120.64884136246526,117.13271654370864,117.20089594056832,111912300,AAPL,Yahoo Finance
2021-03-23,119.35343170166016,121.00922138779639,118.96383194286418,120.12288918175794,95467100,AAPL,Yahoo Finance
2021-03-24,116.96712493896484,119.70405755554833,116.94764829711929,119.62613612617307,88530500,AAPL,Yahoo Finance
2021-03-25,117.45411682128906,118.4962991670475,115.90546750304253,116.43142597838931,98844700,AAPL,Yahoo Finance
2021-03-26,118.05799865722656,118.32098161470867,115.82754797615723,117.22036189731419,94071200,AAPL,Yahoo Finance
2021-03-29,118.23331451416016,119.3923715504468,117.59048134086395,118.48655542775977,80819200,AAPL,Yahoo Finance
2021-03-30,116.78206634521484,117.26906411360106,115.76911009525196,116.98660451621751,85671900,AAPL,Yahoo Finance
2021-03-31,118.97356414794922,120.30793336547684,117.99956854695249,118.48656634745086,118323800,AAPL,Yahoo Finance
2021-04-01,119.80147552490234,120.95079079059254,119.30473561887582,120.44431627752463,75089100,AAPL,Yahoo Finance
2021-04-05,122.62603759765625,122.87927851383142,119.86962848939254,120.64882787870255,88651200,AAPL,Yahoo Finance
2021-04-06,122.92798614501953,123.82406033078875,122.3825509764638,123.21044576616356,80171300,AAPL,Yahoo Finance
2021-04-07,124.57403564453125,124.59351228641088,121.88580577435263,122.55786509964642,83466700,AAPL,Yahoo Finance
2021-04-08,126.9700698852539,126.99928856495599,125.17792150755567,125.59673249128127,88844600,AAPL,Yahoo Finance
2021-04-09,129.5414276123047,129.58038090088027,126.10322399320837,126.4246443564377,106686700,AAPL,Yahoo Finance
2021-04-12,127.82718658447266,129.39532007888374,127.23304868008105,129.07389975073812,91420000,AAPL,Yahoo Finance
2021-04-13,130.9342041015625,131.15823376064404,128.49921542278324,128.99596262492872,91266500,AAPL,Yahoo Finance
2021-04-14,128.5966339111328,131.4894019428346,128.2362603060902,131.43096458655666,87222800,AAPL,Yahoo Finance
2021-04-15,131.0023956298828,131.48939338315375,130.1647588997771,130.34008581919048,89347100,AAPL,Yahoo Finance
2021-04-16,130.6712646484375,131.16799709740084,129.81414368991753,130.8076234498389,84922400,AAPL,Yahoo Finance
2021-04-19,131.33358764648438,131.9472097448359,129.87259397383497,130.0381714732957,94264200,AAPL,Yahoo Finance
2021-04-20,129.64854431152344,132.00561168739057,128.3823471626382,131.50887932231677,94812300,AAPL,Yahoo Finance
2021-04-21,130.02838134765625,130.27188018913125,127.8855945150741,128.91802722500978,68847100,AAPL,Yahoo Finance
2021-04-22,128.50900268554688,130.66152498796077,127.99278612277816,129.58038910212525,84566500,AAPL,Yahoo Finance
2021-04-23,130.82708740234375,131.60627194079382,128.72325347974677,128.72325347974677,78657500,AAPL,Yahoo Finance
2021-04-26,131.21669006347656,131.5478450047434,130.08685158645528,131.32383017529745,66905100,AAPL,Yahoo Finance
2021-04-27,130.895263671875,131.88874331170373,130.62254610203854,131.49913616765673,66015800,AAPL,Yahoo Finance
2021-04-28,130.10633850097656,131.50889459107745,129.61934068424674,130.81735115204378,107760100,AAPL,Yahoo Finance
2021-04-29,130.00894165039062,133.50559750247544,129.00572727008065,132.92119413868548,151101000,AAPL,Yahoo Finance
2021-04-30,128.0414581298828,130.08683981317637,127.66160046998598,128.3531289693404,109839500,AAPL,Yahoo Finance
2021-05-03,129.09335327148438,130.58358001612103,128.40182480933737,128.6063555356659,75135100,AAPL,Yahoo Finance
2021-05-04,124.52533721923828,128.070688075214,123.40524078183631,127.77848641989287,137564700,AAPL,Yahoo Finance
2021-05-05,124.76884460449219,127.05772538948398,124.6422204183204,125.84023086704354,84000900,AAPL,Yahoo Finance
2021-05-06,126.36620330810547,126.37593791446682,123.82406658932013,124.56430537762937,78128300,AAPL,Yahoo Finance
2021-05-07,127.03938293457031,128.06380344320834,126.32714777247271,127.66379828936026,78973300,AAPL,Yahoo Finance
2021-05-10,123.76117706298828,126.38566999347752,123.72215017730588,126.25884564134007,88071200,AAPL,Yahoo Finance
2021-05-11,122.84407806396484,123.19530516720471,119.78053064001386,120.49275831659119,126142800,AAPL,Yahoo Finance
2021-05-12,119.78052520751953,121.6049930518603,119.27319057596678,120.39518935845192,112172300,AAPL,Yahoo Finance
2021-05-13,121.9269790649414,123.0782463378904,121.23426847309511,121.5464761686261,105861300,AAPL,Yahoo Finance
2021-05-14,124.34659576416016,124.7758841676664,122.7855571745272,123.17581868284023,81918000,AAPL,Yahoo Finance
2021-05-17,123.1953125,123.83924502210618,122.12209907344122,123.73192293508849,74244600,AAPL,Yahoo Finance
2021-05-18,121.80989837646484,123.8977887358132,121.74160317568686,123.47825894714309,63342900,AAPL,Yahoo Finance
2021-05-19,121.65377807617188,121.87817336567916,119.86833712441047,120.16103504698746,92612000,AAPL,Yahoo Finance
